consumption_id,linked_opp_id,account_name,partner_name,product,month,consumption_units,consumption_usd,accelerated_vs_baseline_pct
CON-0001,OPP-0013,Enterprise_197,Infosys BPM,Analytics Cloud,2025-02,1161.1,136164.32,13.0
CON-0002,OPP-0013,Enterprise_197,Infosys BPM,Analytics Cloud,2025-03,223.0,76581.05,8.7
CON-0003,OPP-0014,Enterprise_188,Insight Global,Data Intelligence,2024-08,868.5,103450.28,24.9
CON-0004,OPP-0014,Enterprise_188,Insight Global,Data Intelligence,2024-09,1999.0,91468.56,-2.3
CON-0005,OPP-0014,Enterprise_188,Insight Global,Data Intelligence,2024-10,585.1,121608.85,31.3
CON-0006,OPP-0030,Enterprise_142,kpmg,Analytics Cloud,2024-12,1953.4,92898.08,19.0
CON-0007,OPP-0030,Enterprise_142,kpmg,Analytics Cloud,2025-01,1206.2,145867.9,31.6
CON-0008,OPP-0030,Enterprise_142,kpmg,Analytics Cloud,2025-02,1454.6,174159.36,0.1
CON-0009,OPP-0030,Enterprise_142,kpmg,Analytics Cloud,2025-03,1914.9,30804.13,0.3
CON-0010,OPP-0040,Enterprise_104,Cognizant Technology Solutions,Governance Suite,2025-01,319.5,161235.39,22.8
CON-0011,OPP-0040,Enterprise_104,Cognizant Technology Solutions,Governance Suite,2025-02,356.6,32610.03,-1.1
CON-0012,OPP-0044,Enterprise_164,Cognizant,Data Intelligence,2024-06,1808.1,67007.61,23.5
CON-0013,OPP-0045,Enterprise_228,CDW Corporation,Analytics Cloud,2025-01,657.3,154876.03,4.4
CON-0014,OPP-0049,Enterprise_203,CDW Corporation,Governance Suite,2024-07,442.0,25060.79,36.5
CON-0015,OPP-0049,Enterprise_203,CDW Corporation,Governance Suite,2024-08,701.9,75339.79,14.2
CON-0016,OPP-0049,Enterprise_203,CDW Corporation,Governance Suite,2024-09,418.3,145916.25,28.2
CON-0017,OPP-0049,Enterprise_203,CDW Corporation,Governance Suite,2024-10,555.7,27432.9,5.4
CON-0018,OPP-0053,Enterprise_150,Presidio,ML Platform,2024-07,316.2,103619.29,44.5
CON-0019,OPP-0053,Enterprise_150,Presidio,ML Platform,2024-08,1973.6,70679.34,5.3
CON-0020,OPP-0060,Enterprise_210,Insight Direct,Governance Suite,2024-11,1736.0,172994.38,22.2
CON-0021,OPP-0060,Enterprise_210,Insight Direct,Governance Suite,2024-12,1006.6,113715.91,6.5
CON-0022,OPP-0060,Enterprise_210,Insight Direct,Governance Suite,2025-01,360.8,68264.62,11.1
CON-0023,OPP-0060,Enterprise_210,Insight Direct,Governance Suite,2025-02,686.2,168593.75,39.8
CON-0024,OPP-0060,Enterprise_210,Insight Direct,Governance Suite,2025-03,860.1,158393.27,12.3
CON-0025,OPP-0074,Enterprise_232,Accenture,Governance Suite,2024-04,1407.7,60466.16,33.3
CON-0026,OPP-0075,Enterprise_142,Capgemini SE,ML Platform,2024-08,1969.1,69874.27,5.4
CON-0027,OPP-0077,Enterprise_144,Cognizant Technology Solutions,Analytics Cloud,2024-12,375.3,23145.36,30.6
CON-0028,OPP-0077,Enterprise_144,Cognizant Technology Solutions,Analytics Cloud,2025-01,100.3,146612.72,4.5
CON-0029,OPP-0077,Enterprise_144,Cognizant Technology Solutions,Analytics Cloud,2025-02,1372.3,82938.23,29.9
CON-0030,OPP-0077,Enterprise_144,Cognizant Technology Solutions,Analytics Cloud,2025-03,1266.0,94294.04,31.4
CON-0031,OPP-0085,Enterprise_131,Slalom,Data Intelligence,2024-07,631.9,115954.53,38.6
CON-0032,OPP-0085,Enterprise_131,Slalom,Data Intelligence,2024-08,449.5,135773.17,23.0
CON-0033,OPP-0085,Enterprise_131,Slalom,Data Intelligence,2024-09,1042.7,165231.11,36.2
CON-0034,OPP-0100,Enterprise_147,Slalom Build,ML Platform,2024-09,157.8,118876.99,32.5
CON-0035,OPP-0100,Enterprise_147,Slalom Build,ML Platform,2024-10,674.3,165209.39,32.5
CON-0036,OPP-0100,Enterprise_147,Slalom Build,ML Platform,2024-11,510.5,9313.93,35.6
CON-0037,OPP-0100,Enterprise_147,Slalom Build,ML Platform,2024-12,917.3,112703.61,6.0
CON-0038,OPP-0111,accenture,accenture,ML Platform,2024-10,801.5,133937.5,37.9
CON-0039,OPP-0111,accenture,accenture,ML Platform,2024-11,1828.5,193451.17,44.7
CON-0040,OPP-0111,accenture,accenture,ML Platform,2024-12,196.4,160798.71,9.9
CON-0041,OPP-0112,Deloitte,Deloitte Consulting,ML Platform,2024-03,1423.9,20504.5,15.4
CON-0042,OPP-0112,Deloitte,Deloitte Consulting,ML Platform,2024-04,858.0,37165.24,44.8
CON-0043,OPP-0112,Deloitte,Deloitte Consulting,ML Platform,2024-05,1512.3,186970.8,47.7
CON-0044,OPP-0112,Deloitte,Deloitte Consulting,ML Platform,2024-06,1517.0,38394.15,29.8
CON-0045,OPP-0114,Capgemini,Capgemini,Analytics Cloud,2024-06,1978.8,116050.38,32.3
CON-0046,OPP-0114,Capgemini,Capgemini,Analytics Cloud,2024-07,1152.3,81474.94,40.0
CON-0047,OPP-0115,Infosys BPM,Infosys BPM,ML Platform,2024-05,1626.0,153799.92,-4.7
CON-0048,OPP-0115,Infosys BPM,Infosys BPM,ML Platform,2024-06,734.4,162141.2,32.0
CON-0049,OPP-0115,Infosys BPM,Infosys BPM,ML Platform,2024-07,1113.4,71787.53,41.0
CON-0050,OPP-0117,Infosys,Infosys BPM,Analytics Cloud,2024-10,848.7,130764.76,-3.9
CON-0051,OPP-0119,Wipro,Wipro Technologies,Data Intelligence,2024-07,1088.3,190870.34,6.0
CON-0052,OPP-0121,Deloitte Consulting,Deloitte Consulting,Analytics Cloud,2024-10,1908.5,73251.11,47.2
CON-0053,OPP-0121,Deloitte Consulting,Deloitte Consulting,Analytics Cloud,2024-11,1456.3,95859.86,18.9
CON-0054,OPP-0121,Deloitte Consulting,Deloitte Consulting,Analytics Cloud,2024-12,1910.4,183664.39,12.7
CON-0055,OPP-0122,Infosys,Infosys BPM,Governance Suite,2024-07,1213.4,25018.37,8.5
CON-0056,OPP-0122,Infosys,Infosys BPM,Governance Suite,2024-08,1501.3,30031.45,27.3
CON-0057,OPP-0122,Infosys,Infosys BPM,Governance Suite,2024-09,547.2,158737.24,3.1
CON-0058,OPP-0125,Cognizant Technology Solutions,Cognizant Technology Solutions,Data Intelligence,2024-07,1536.9,27602.12,13.3
