opp_id,opp_name,account_name,partner_name,opp_type,region,product,stage,amount_usd,partner_margin_usd,created_date,close_date,sales_rep,partner_tier
OPP-0001,Enterprise_163 - ML Platform,Enterprise_122,Infosys BPM,Partner,LATAM,Data Intelligence,Qualification,,,2024-07-13,,Riley Chen,1
OPP-0002,Enterprise_155 - Analytics Cloud,Enterprise_199,Capgemini SE,Direct,EMEA,ML Platform,Proposal,,,2024-04-12,,Sam Patel,2
OPP-0003,Enterprise_203 - Data Intelligence,Enterprise_168,Insight Global,Partner,North America,Governance Suite,Closed Won,104000,16018,2024-04-01,2024-06-26,Alex Kim,3
OPP-0004,Enterprise_150 - Governance Suite,Enterprise_113,WIPRO,Partner,EMEA,ML Platform,Prospecting,,,2024-09-30,,Jordan Brooks,2
OPP-0005,Enterprise_207 - Data Intelligence,Enterprise_208,kpmg,Partner,North America,ML Platform,Closed Won,535000,455760,2025-01-17,2025-02-08,Morgan Lee,2
OPP-0006,Enterprise_203 - ML Platform,Enterprise_114,World Wide Tech,Partner,EMEA,Governance Suite,Proposal,,,2024-01-03,,Morgan Lee,2
OPP-0007,Enterprise_138 - Governance Suite,Enterprise_131,Presidio,,North America,ML Platform,Closed Won,382000,56024,2024-07-25,2024-08-26,Morgan Lee,3
OPP-0008,Enterprise_243 - Analytics Cloud,Enterprise_227,KPMG,,APAC,Data Intelligence,Proposal,,,2024-03-31,,Morgan Lee,2
OPP-0009,Enterprise_249 - Data Intelligence,Enterprise_186,KPMG,Partner,LATAM,Governance Suite,Prospecting,,,2024-12-13,,Morgan Lee,2
OPP-0010,Enterprise_123 - ML Platform,Enterprise_109,Infosys BPM,Partner,LATAM,Governance Suite,Proposal,,,2024-07-16,,Alex Kim,1
OPP-0011,Enterprise_163 - Governance Suite,Enterprise_175,Cognizant Technology Solutions,,North America,Governance Suite,Closed Won,128000,23155,2025-03-13,2025-03-22,Sam Patel,2
OPP-0012,Enterprise_182 - Governance Suite,Enterprise_236,Cognizant,,APAC,Governance Suite,Negotiation,,,2024-02-05,,Morgan Lee,2
OPP-0013,Enterprise_212 - ML Platform,Enterprise_197,Infosys BPM,Direct,EMEA,Analytics Cloud,Closed Won,309000,,2024-12-03,2024-12-23,Jamie Torres,1
OPP-0014,Enterprise_159 - Governance Suite,Enterprise_188,Insight Global,,LATAM,Data Intelligence,Closed Won,195000,22725,2024-06-30,2024-08-18,Jamie Torres,3
OPP-0015,Enterprise_142 - Governance Suite,Enterprise_152,Presidio Inc,Partner,LATAM,Governance Suite,Qualification,,,2024-09-29,,Riley Chen,3
OPP-0016,Enterprise_108 - Data Intelligence,Enterprise_206,Presidio Inc,Partner,APAC,Analytics Cloud,Closed Won,225000,49485,2024-11-16,2025-01-28,Alex Kim,3
OPP-0017,Enterprise_133 - Governance Suite,Enterprise_199,Deloitte Digital,Partner,EMEA,Analytics Cloud,Closed Won,196000,,2025-03-18,2025-03-24,Morgan Lee,1
OPP-0018,Enterprise_197 - ML Platform,Enterprise_222,Slalom Build,,LATAM,ML Platform,Negotiation,,,2024-05-20,,Jamie Torres,2
OPP-0019,Enterprise_226 - Data Intelligence,Enterprise_185,Presidio,Partner,APAC,Data Intelligence,Closed Lost,35000,,2024-05-02,2024-09-12,Riley Chen,3
OPP-0020,Enterprise_112 - Governance Suite,Enterprise_109,Wipro,Partner,APAC,ML Platform,Proposal,,,2024-07-30,,Riley Chen,2
OPP-0021,Enterprise_224 - ML Platform,Enterprise_169,Cognizant Technology Solutions,Partner,APAC,Data Intelligence,Closed Won,447000,,2024-03-22,2024-04-05,Riley Chen,2
OPP-0022,Enterprise_236 - Data Intelligence,Enterprise_129,Slalom Build,,EMEA,ML Platform,Negotiation,,,2025-02-01,,Alex Kim,2
OPP-0023,Enterprise_197 - ML Platform,Enterprise_190,Presidio,Partner,EMEA,Analytics Cloud,Prospecting,,,2024-02-14,,Jamie Torres,3
OPP-0024,Enterprise_227 - Data Intelligence,Enterprise_159,WIPRO,Partner,North America,ML Platform,Closed Won,334000,,2025-02-18,2025-03-02,Riley Chen,2
OPP-0025,Enterprise_180 - Data Intelligence,Enterprise_249,Cap Gemini,Partner,North America,Analytics Cloud,Closed Won,185000,36519,2025-01-10,2025-01-20,Alex Kim,2
OPP-0026,Enterprise_226 - Governance Suite,Enterprise_118,KPMG,Partner,APAC,ML Platform,Closed Lost,322000,,2024-01-06,2024-05-27,Riley Chen,2
OPP-0027,Enterprise_158 - ML Platform,Enterprise_104,Insight,Partner,LATAM,Governance Suite,Closed Won,55000,,2024-06-11,2024-09-02,Riley Chen,3
OPP-0028,Enterprise_113 - ML Platform,Enterprise_161,CDW-G,Partner,APAC,ML Platform,Qualification,,,2025-01-31,,Riley Chen,3
OPP-0029,Enterprise_151 - ML Platform,Enterprise_146,Deloitte Consulting,,APAC,Data Intelligence,Prospecting,,,2024-08-10,,Morgan Lee,1
OPP-0030,Enterprise_214 - Data Intelligence,Enterprise_142,kpmg,,EMEA,Analytics Cloud,Closed Won,23000,1955,2024-10-23,2024-11-30,Sam Patel,2
OPP-0031,Enterprise_159 - Governance Suite,Enterprise_153,kpmg,Partner,North America,Governance Suite,Closed Lost,398000,,2024-09-01,2024-09-24,Riley Chen,2
OPP-0032,Enterprise_163 - ML Platform,Enterprise_165,Slalom,Partner,North America,ML Platform,Qualification,,,2025-02-13,,Alex Kim,2
OPP-0033,Enterprise_185 - Governance Suite,Enterprise_148,Presidio,,North America,Data Intelligence,Closed Won,424000,38223,2024-04-26,2024-08-11,Sam Patel,3
OPP-0034,Enterprise_174 - ML Platform,Enterprise_168,Accenture Inc,Partner,North America,Analytics Cloud,Qualification,,,2024-06-10,,Alex Kim,1
OPP-0035,Enterprise_136 - Analytics Cloud,Enterprise_235,CDW Corporation,Partner,EMEA,Governance Suite,Qualification,,,2024-07-05,,Jamie Torres,3
OPP-0036,Enterprise_197 - Data Intelligence,Enterprise_191,Accenture Inc,Direct,LATAM,ML Platform,Qualification,,,2024-06-30,,Riley Chen,1
OPP-0037,Enterprise_154 - ML Platform,Enterprise_187,kpmg,Partner,APAC,Data Intelligence,Prospecting,,,2025-02-03,,Jordan Brooks,2
OPP-0038,Enterprise_194 - Governance Suite,Enterprise_208,Accenture LLP,Partner,APAC,Analytics Cloud,Qualification,,,2024-08-10,,Jordan Brooks,1
OPP-0039,Enterprise_116 - Data Intelligence,Enterprise_156,WIPRO,Partner,APAC,Data Intelligence,Qualification,,,2025-02-17,,Morgan Lee,2
OPP-0040,Enterprise_198 - Data Intelligence,Enterprise_104,Cognizant Technology Solutions,Partner,LATAM,Governance Suite,Closed Won,472000,72254,2024-11-14,2025-01-07,Sam Patel,2
OPP-0041,Enterprise_201 - ML Platform,Enterprise_117,Wipro Technologies,,APAC,Governance Suite,Closed Lost,128000,,2024-09-17,2025-01-31,Jordan Brooks,2
OPP-0042,Enterprise_121 - ML Platform,Enterprise_204,Capgemini,Partner,LATAM,Data Intelligence,Closed Lost,40000,,2024-06-22,2024-07-13,Jamie Torres,2
OPP-0043,Enterprise_127 - Data Intelligence,Enterprise_210,Deloitte Digital,Partner,EMEA,ML Platform,Proposal,,,2025-02-13,,Jordan Brooks,1
OPP-0044,Enterprise_168 - Analytics Cloud,Enterprise_164,Cognizant,Partner,APAC,Data Intelligence,Closed Won,337000,62428,2024-03-31,2024-04-26,Jamie Torres,2
OPP-0045,Enterprise_223 - ML Platform,Enterprise_228,CDW Corporation,,LATAM,Analytics Cloud,Closed Won,504000,,2024-11-05,2025-01-08,Riley Chen,3
OPP-0046,Enterprise_148 - Analytics Cloud,Enterprise_230,Cognizant,Partner,EMEA,Analytics Cloud,Qualification,,,2024-11-20,,Riley Chen,2
OPP-0047,Enterprise_137 - Data Intelligence,Enterprise_186,Presidio Inc,Partner,North America,Data Intelligence,Qualification,,,2024-02-06,,Sam Patel,3
OPP-0048,Enterprise_149 - Data Intelligence,Enterprise_161,Deloitte Digital,Partner,EMEA,Data Intelligence,Negotiation,,,2024-08-05,,Alex Kim,1
OPP-0049,Enterprise_155 - Analytics Cloud,Enterprise_203,CDW Corporation,Partner,North America,Governance Suite,Closed Won,588000,62677,2024-05-12,2024-06-25,Jordan Brooks,3
OPP-0050,Enterprise_189 - ML Platform,Enterprise_111,Cognizant Technology Solutions,Partner,EMEA,ML Platform,Negotiation,,,2024-09-02,,Jordan Brooks,2
OPP-0051,Enterprise_141 - Analytics Cloud,Enterprise_242,Presidio,Partner,APAC,Data Intelligence,Proposal,,,2024-11-05,,Jamie Torres,3
OPP-0052,Enterprise_111 - Data Intelligence,Enterprise_236,World Wide Technology,Partner,APAC,Analytics Cloud,Proposal,,,2024-10-30,,Alex Kim,2
OPP-0053,Enterprise_187 - Governance Suite,Enterprise_150,Presidio,Direct,North America,ML Platform,Closed Won,582000,,2024-06-17,2024-07-12,Jordan Brooks,3
OPP-0054,Enterprise_239 - Governance Suite,Enterprise_195,Deloitte Consulting,,LATAM,Analytics Cloud,Proposal,,,2024-08-31,,Jamie Torres,1
OPP-0055,Enterprise_125 - Data Intelligence,Enterprise_194,slalom consulting,Partner,APAC,ML Platform,Proposal,,,2025-02-02,,Riley Chen,2
OPP-0056,Enterprise_133 - Analytics Cloud,Enterprise_106,Deloitte Consulting,,APAC,ML Platform,Closed Won,302000,29611,2024-11-05,2025-01-18,Alex Kim,1
OPP-0057,Enterprise_211 - Governance Suite,Enterprise_123,Infosys BPM,Partner,North America,Governance Suite,Negotiation,,,2024-09-25,,Alex Kim,1
OPP-0058,Enterprise_161 - Data Intelligence,Enterprise_132,Cap Gemini,,North America,Analytics Cloud,Prospecting,,,2024-11-29,,Riley Chen,2
OPP-0059,Enterprise_116 - Data Intelligence,Enterprise_155,kpmg,,North America,Governance Suite,Closed Lost,568000,,2024-11-25,2025-01-09,Alex Kim,2
OPP-0060,Enterprise_156 - ML Platform,Enterprise_210,Insight Direct,Partner,EMEA,Governance Suite,Closed Won,23000,,2024-09-25,2025-01-30,Morgan Lee,3
OPP-0061,Enterprise_163 - Governance Suite,Enterprise_195,World Wide Technology,Partner,EMEA,Analytics Cloud,Closed Won,328000,,2024-01-11,2024-01-19,Riley Chen,2
OPP-0062,Enterprise_247 - Analytics Cloud,Enterprise_237,Wipro,,LATAM,Analytics Cloud,Closed Lost,52000,,2024-12-23,2025-03-21,Alex Kim,2
OPP-0063,Enterprise_205 - Analytics Cloud,Enterprise_177,Presidio Inc,Partner,North America,ML Platform,Negotiation,,,2024-05-10,,Jamie Torres,3
OPP-0064,Enterprise_104 - ML Platform,Enterprise_235,CDW,,APAC,Analytics Cloud,Qualification,,,2024-05-08,,Morgan Lee,3
OPP-0065,Enterprise_195 - ML Platform,Enterprise_101,Infosys,,LATAM,Governance Suite,Proposal,,,2024-07-02,,Morgan Lee,1
